Designator,Mid X,Mid Y,Rotation,Layer
SW2,58.500000mm,-89.000000mm,0.000000,top
U1,40.000000mm,-25.000000mm,0.000000,top
U2,60.500000mm,-26.000000mm,0.000000,top
U3,40.000000mm,-99.000000mm,180.000000,top
U4,17.000000mm,-45.000000mm,0.000000,top
U5,17.000000mm,-54.000000mm,0.000000,top
U6,63.000000mm,-45.000000mm,0.000000,top
U7,17.000000mm,-41.500000mm,0.000000,top
U8,24.000000mm,-60.000000mm,0.000000,top
U9,63.000000mm,-41.500000mm,0.000000,top
U10,50.500000mm,-46.000000mm,0.000000,top
U11,53.000000mm,-25.000000mm,0.000000,top
U12,23.250000mm,-25.000000mm,0.000000,top
U13,61.000000mm,-57.000000mm,0.000000,top
U14,24.250000mm,-45.500000mm,0.000000,top
U15,58.000000mm,-101.000000mm,0.000000,top
U16,16.000000mm,-89.000000mm,0.000000,top
U17,16.000000mm,-97.000000mm,0.000000,top
U18,58.000000mm,-95.000000mm,0.000000,top
U19,26.000000mm,-34.000000mm,180.000000,top
U20,51.700000mm,-19.500000mm,0.000000,top
U25,51.750000mm,-57.000000mm,90.000000,top
U28,22.000000mm,-40.500000mm,90.000000,top
U29,26.000000mm,-40.250000mm,90.000000,top
U32,44.500000mm,-83.750000mm,0.000000,top
U33,48.000000mm,-18.500000mm,90.000000,top
U34,65.500000mm,-18.500000mm,90.000000,top
U36,28.000000mm,-65.000000mm,180.000000,top
U37,40.500000mm,-57.000000mm,0.000000,top
U38,28.250000mm,-73.000000mm,0.000000,top
U39,33.500000mm,-55.600000mm,0.000000,top
